MANZENT,canopy_pct
13107011001015.0,1.585931512927036
13107011001017.0,1.0560344827586208
13107011001018.0,9.49
13107011001019.0,6.786885245901639
13107011001021.0,2.4056603773584904
13107011001024.0,2.0464926590538335
13107011001025.0,1.9194699286442405
13107011001026.0,1.5978260869565217
13107011001028.0,1.0532544378698225
13107011001029.0,3.1775956284153004
13107011001031.0,2.0076481835564053
13107011001032.0,3.3861967694566815
13107011001033.0,2.8688212927756656
13107011001034.0,0.0
13107011001036.0,6.817787418655097
13107011001037.0,0.0
13107011001041.0,0.006429277942631058
13107011001042.0,0.2917068466730955
13107011001046.0,0.2299168975069252
13107011001038.0,7.400844730490748
13107011001001.0,6.956424504120147
13107011001035.0,11.22817133443163
13107011002003.0,6.1707427536231885
13107011002004.0,2.1734340572867485
13107011002005.0,1.7975460122699387
13107011002008.0,5.751923076923077
13107011002009.0,1.9655172413793103
13107011002010.0,8.352769679300291
13107011002012.0,5.747774480712166
13107011002013.0,0.0
13107011002014.0,10.420863309352518
13107011002015.0,0.0
13107011002016.0,1.9070512820512822
13107011002017.0,2.6600790513833994
13107011002018.0,2.4925373134328357
13107011002019.0,1.289085545722714
13107011002020.0,3.7302631578947367
13107011002021.0,1.121212121212121
13107011002022.0,4.142857142857143
13107011002023.0,3.841344544846051
13107011002024.0,6.361538461538461
13107011002025.0,0.6512968299711815
13107011002026.0,1.7118644067796611
13107011002027.0,0.0
13107011002030.0,6.5474006116207955
13107011002031.0,0.23546511627906977
13107011002032.0,2.128939828080229
13107011002033.0,1.7696629213483146
13107011002034.0,0.03482587064676617
13107011002035.0,15.84487951807229
13107011002036.0,0.0
13107011002038.0,3.8467966573816157
13107011002039.0,0.0
13107011002043.0,3.626511852926947
13107011003002.0,4.237396789578953
13107011003003.0,4.8101761252446185
13107011003004.0,13.976435935198822
13107011003005.0,12.67238689547582
13107011003006.0,2.9951100244498776
13107011003013.0,9.14458398744113
13107011003020.0,15.422018348623853
13107011003021.0,11.247435897435897
13107011003022.0,13.628813559322033
13107011003027.0,8.845322580645162
13107011003031.0,8.291592945608127
13107011003036.0,11.217076700434154
13107011003040.0,16.12109375
13107011003041.0,10.438450899031812
13107011003042.0,18.490974729241877
13107011003045.0,0.8316436583261432
13107011003052.0,0.0
13107011003054.0,0.11239193083573487
13107011003056.0,0.1717557251908397
13107011003058.0,0.0
13107011003059.0,4.662863070539419
13107011003061.0,0.619601700604162
13107011003067.0,7.326895111674559
13107011003049.0,0.09259259259259259
13107011004001.0,1.0669943093636833
13107011004005.0,0.8120300751879699
13107011004009.0,0.0419047619047619
13107011004013.0,3.8564593301435406
13107011004015.0,0.010355987055016181
13107011004017.0,0.0
13107011004018.0,0.0
13107011004019.0,5.852595212634696
13107011004021.0,3.0046296296296298
13107011004022.0,6.331010452961673
13107011004023.0,4.0561224489795915
13107011004025.0,15.857988165680473
13107011004026.0,3.56
13107011004027.0,6.624
13107011004028.0,2.4862385321100917
13107011004029.0,1.8440366972477065
13107011004030.0,1.56838905775076
13107011004031.0,2.053731343283582
13107011004032.0,4.312775330396476
13107011004033.0,0.08633093525179857
13107011004034.0,2.9949748743718594
