purpose_group,vuln_group,dist_m,w
compras_tramites,alta,197.64663267116393,1.48210391383712
compras_tramites,alta,445.8448101375214,1.48210391383712
compras_tramites,media,988.4881310143537,1.48210391383712
compras_tramites,alta,430.6814923485365,1.48210391383712
compras_tramites,alta,1534.767624155608,1.48210391383712
social_recreacion,todas,216.0364575171573,1.48210391383712
compras_tramites,alta,119.26539880268082,1.48210391383712
social_recreacion,todas,309.5109044928789,1.48210391383712
compras_tramites,alta,1553.8037453621878,1.48210391383712
social_recreacion,todas,405.64348956318776,1.48210391383712
social_recreacion,todas,405.64348956318776,1.48210391383712
compras_tramites,alta,971.1444646853847,1.48210391383712
social_recreacion,todas,2068.0440697465956,1.48210391383712
compras_tramites,baja,250.62125932370543,1.48210391383712
compras_tramites,media,165.27628384012027,1.48210391383712
compras_tramites,baja,162.09148470558995,1.48210391383712
compras_tramites,alta,1172.029436490398,1.48210391383712
compras_tramites,alta,1193.3040266419953,1.48210391383712
compras_tramites,media,77.33571296626158,1.48210391383712
compras_tramites,alta,2715.588133380364,1.48210391383712
compras_tramites,alta,720.7657826760109,1.48210391383712
compras_tramites,alta,50.288891976757654,1.48210391383712
social_recreacion,todas,1584.9588519895399,1.48210391383712
salud,todas,633.6824051723387,1.48210391383712
compras_tramites,alta,619.090929590769,1.48210391383712
compras_tramites,media,442.27798102550844,1.48210391383712
compras_tramites,baja,457.6029938713251,1.48210391383712
compras_tramites,baja,581.1729527228212,1.48210391383712
compras_tramites,baja,581.1729527228212,1.48210391383712
social_recreacion,todas,1754.1446555675645,1.48210391383712
salud,todas,455.3060279653263,1.48210391383712
compras_tramites,baja,776.4229779089488,1.48210391383712
compras_tramites,alta,79.11868063232602,1.48210391383712
social_recreacion,todas,167.51832922101391,1.48210391383712
compras_tramites,alta,125.04986895859787,1.48210391383712
compras_tramites,alta,125.04986895859787,1.48210391383712
compras_tramites,media,300.7926053051338,1.48210391383712
compras_tramites,media,198.9340735645857,1.48210391383712
compras_tramites,media,514.2866883865092,1.48210391383712
compras_tramites,alta,355.02632494823536,1.48210391383712
compras_tramites,baja,1034.5728780704926,1.48210391383712
social_recreacion,todas,670.9047791275972,1.48210391383712
compras_tramites,alta,277.3942383622315,1.48210391383712
compras_tramites,alta,444.51353765239816,1.48210391383712
compras_tramites,media,89.04056747488754,1.48210391383712
compras_tramites,media,134.5253228949851,1.48210391383712
compras_tramites,media,1019.3733258914824,1.48210391383712
compras_tramites,alta,227.85296279892873,1.48210391383712
compras_tramites,media,85.03124425762567,1.48210391383712
compras_tramites,media,637.4433989885396,1.48210391383712
social_recreacion,todas,285.36703510840647,1.14387994007037
compras_tramites,media,735.3748220508029,1.48210391383712
compras_tramites,media,1317.3736716000515,1.48210391383712
compras_tramites,media,1317.3736716000515,1.48210391383712
salud,todas,947.5325321138386,1.14387994007037
salud,todas,948.7610799954131,1.14387994007037
compras_tramites,alta,63.270755302608016,1.48210391383712
compras_tramites,media,411.54880031299143,1.48210391383712
compras_tramites,media,411.54880031299143,1.48210391383712
compras_tramites,media,131.27965438806578,1.48210391383712
compras_tramites,media,391.1377834280396,1.48210391383712
compras_tramites,alta,424.0352388529313,1.48210391383712
social_recreacion,todas,740.195289370481,1.48210391383712
salud,todas,224.8573940439807,1.48210391383712
social_recreacion,todas,552.5847158256031,1.48210391383712
compras_tramites,alta,209.50238662125068,1.48210391383712
social_recreacion,todas,1431.2672924719548,1.48210391383712
compras_tramites,alta,405.45321020317806,1.48210391383712
compras_tramites,alta,1606.9612931418883,1.48210391383712
compras_tramites,alta,1606.9612931418883,1.48210391383712
social_recreacion,todas,498.6602372623694,1.14387994007037
salud,todas,566.7508822225158,1.48210391383712
salud,todas,502.59800136546755,1.48210391383712
compras_tramites,alta,376.10187205604615,1.14387994007037
salud,todas,287.9927994569699,1.48210391383712
compras_tramites,media,252.13020569737375,1.48210391383712
compras_tramites,media,381.12572257228976,1.48210391383712
compras_tramites,alta,369.28858972353856,1.48210391383712
compras_tramites,media,1503.0513576684805,1.48210391383712
compras_tramites,media,161.53812678822916,1.48210391383712
compras_tramites,media,161.53812678822916,1.48210391383712
compras_tramites,media,438.51037014711807,1.48210391383712
compras_tramites,media,715.3097019659125,1.48210391383712
compras_tramites,alta,336.34007999948875,1.48210391383712
compras_tramites,media,656.9081104880652,1.48210391383712
compras_tramites,media,248.84425232273801,1.48210391383712
compras_tramites,alta,318.2253418005274,1.48210391383712
compras_tramites,media,466.1031311912097,1.48210391383712
salud,todas,1205.3925725282406,1.48210391383712
compras_tramites,media,848.6459458491804,1.48210391383712
compras_tramites,media,1149.148931002853,1.48210391383712
social_recreacion,todas,480.5834995086702,1.48210391383712
salud,todas,1005.8262481195497,1.48210391383712
compras_tramites,alta,1086.9067100211787,1.14387994007037
social_recreacion,todas,874.9614684596473,1.48210391383712
compras_tramites,alta,418.57645657633446,1.48210391383712
compras_tramites,alta,418.57645657633446,1.48210391383712
compras_tramites,alta,387.10320410066356,1.48210391383712
compras_tramites,media,303.05544466163695,1.48210391383712
compras_tramites,media,383.74902280005875,1.48210391383712
compras_tramites,media,283.93000898108676,1.48210391383712
compras_tramites,media,437.00087600026615,1.48210391383712
compras_tramites,alta,508.71967911027633,1.48210391383712
