vuln_group,compras_tramites,salud,social_recreacion
baja,0.7681565333639484,0.03541950418750492,0.19642396244854674
media,0.782279826623798,0.04673350294194238,0.17098667043425955
alta,0.7887565381416688,0.060258119241733375,0.15098534261659774
