vuln_group,purpose_group,n_expand,prob
alta,compras_tramites,93420.3853,0.7763056883579247
alta,salud,5319.93575,0.044207657366873244
alta,social_recreacion,21599.3682,0.17948665427520208
baja,compras_tramites,89725.297298,0.734790460319953
baja,salud,6692.6604800000005,0.054808434443314735
baja,social_recreacion,25692.08875,0.21040110523673222
media,compras_tramites,95890.894426,0.7899059186059948
media,salud,6092.19728,0.050184772157913456
media,social_recreacion,19412.24433,0.1599093092360918
