vuln_group,age_band,n_sample,n_expand_total,n_expand_walk,p_walk
alta,60-69,863.0,156309.730137,47749.87436,0.30548241826115946
alta,70-79,587.0,96240.388917,31138.68138,0.3235510759090421
alta,80+,280.0,44517.24696,15702.66612,0.35273219240419984
baja,60-69,1055.0,184138.754115,42926.407458,0.2331198973530103
baja,70-79,661.0,116143.463014,34405.34654,0.29623145071757295
baja,80+,319.0,52122.05491,14811.930680000003,0.28417779585966063
media,60-69,1020.0,179697.095886,46776.752242999995,0.2603088937657357
media,70-79,621.0,107683.703154,34592.733773,0.32124390933629426
media,80+,317.0,52166.002039,15620.89291,0.2994458516932467
