vuln_group,purpose_group,n_expand,prob
alta,compras_tramites,1061.348238713175,0.6816329831240355
alta,salud,203.63696272334784,0.13078240045296316
alta,social_recreacion,292.0818199520876,0.18758461642300125
baja,compras_tramites,1515.4375747100287,0.6464406182530884
baja,salud,287.26801995533873,0.12253999737323577
baja,social_recreacion,541.5740373993349,0.2310193843736759
media,compras_tramites,1235.1501505540177,0.6819500727601235
media,salud,259.3478350153671,0.1431909107403499
media,social_recreacion,316.70520934321803,0.17485901649952657
