purpose_group,vuln_group,dist_m,w
social_recreacion,todas,2350.732575310301,0.817907347175127
social_recreacion,todas,2350.732575310301,1.0
compras_tramites,alta,7448.518812554384,1.0
compras_tramites,alta,7448.518812554384,1.0
compras_tramites,media,6783.758139347545,1.0
salud,todas,5865.094853506207,1.0
salud,todas,8000.6471623614025,1.42042823117339
compras_tramites,media,5201.036943260089,1.0
compras_tramites,alta,197.64663267116393,1.48210391383712
compras_tramites,media,7899.831941015522,1.12721985301036
compras_tramites,alta,445.8448101375214,1.48210391383712
compras_tramites,media,988.4881310143537,1.48210391383712
compras_tramites,baja,5080.99766910757,1.0
compras_tramites,media,2582.888584216625,1.0
compras_tramites,media,714.2033265125293,1.14387994007037
compras_tramites,media,2582.888584216625,1.0
compras_tramites,media,714.2033265125293,1.14387994007037
compras_tramites,baja,6915.076075777407,1.12721985301036
salud,todas,9355.938426884619,0.817907347175127
compras_tramites,alta,430.6814923485365,1.48210391383712
compras_tramites,media,2651.6959085472545,1.0
compras_tramites,media,8643.347836134228,1.48210391383712
compras_tramites,media,2017.4206306510703,1.14387994007037
compras_tramites,media,2857.6912036861154,1.0
salud,todas,11951.398372680078,1.5058778792911116
salud,todas,7516.841002718911,0.817907347175127
compras_tramites,alta,1534.767624155608,1.48210391383712
compras_tramites,alta,9007.86343291108,1.0
compras_tramites,alta,4202.861811927231,1.0
compras_tramites,alta,3124.603694870759,1.48210391383712
social_recreacion,todas,216.0364575171573,1.48210391383712
compras_tramites,alta,119.26539880268082,1.48210391383712
salud,todas,5153.706324472345,1.0
social_recreacion,todas,616.458433310795,1.48210391383712
compras_tramites,media,715.6710820315783,1.48210391383712
salud,todas,5402.802588793761,1.0
compras_tramites,alta,3542.8563347656454,1.0
social_recreacion,todas,17898.8767524669,1.0
compras_tramites,alta,1142.1565954266352,1.0
compras_tramites,media,11455.782661123869,1.0
compras_tramites,media,4407.63260045855,1.0
compras_tramites,media,11041.261183199364,1.0
compras_tramites,media,9823.288820451122,1.0
compras_tramites,alta,8597.492505994116,1.48210391383712
compras_tramites,media,1644.3431371034035,1.0
compras_tramites,media,776.7576848519508,1.0
salud,todas,6348.409868033023,1.12721985301036
compras_tramites,alta,7604.765842261351,1.12721985301036
social_recreacion,todas,309.5109044928789,1.48210391383712
compras_tramites,alta,2639.4626465438,1.0
compras_tramites,alta,5965.596045061345,1.0
compras_tramites,alta,7436.942838965421,1.0
compras_tramites,alta,541.5544755608618,1.48210391383712
compras_tramites,alta,2934.8514868728876,1.48210391383712
compras_tramites,baja,11688.666755264478,1.12721985301036
compras_tramites,alta,612.3967395419104,1.48210391383712
compras_tramites,alta,8234.785301506898,1.48210391383712
compras_tramites,media,6969.925995224501,1.0
compras_tramites,media,3077.729936576632,1.48210391383712
salud,todas,9597.261980200476,0.817907347175127
compras_tramites,alta,1553.8037453621878,1.48210391383712
social_recreacion,todas,2308.448925448915,1.0
compras_tramites,alta,3761.8113771046606,1.0
salud,todas,6508.555798863067,1.0
compras_tramites,alta,9796.018737102142,1.0
compras_tramites,alta,6952.5129663921925,1.0
social_recreacion,todas,774.6644838250944,1.0
social_recreacion,todas,405.64348956318776,1.48210391383712
social_recreacion,todas,405.64348956318776,1.48210391383712
compras_tramites,alta,971.1444646853847,1.48210391383712
compras_tramites,media,5752.792573995178,1.0
salud,todas,6881.318226912563,0.817907347175127
social_recreacion,todas,667.3300374674063,1.48210391383712
social_recreacion,todas,3851.555235921142,1.0
social_recreacion,todas,2068.0440697465956,1.48210391383712
compras_tramites,baja,250.62125932370543,1.48210391383712
compras_tramites,media,5743.158799824361,1.0
compras_tramites,media,5743.158799824361,1.0
