vuln_group,n_expand_total,n_expand_walk,p_walk_pure
baja,5435.1666269093,1819.096318810948,0.3346900736777181
media,5043.790749713926,2061.9029446426957,0.4088002549986125
alta,5350.015258732778,2599.7280572642558,0.4859290920751571
