term,coef,se,p
intercept,0.38111219974935834,0.30330311767630835,0.2089206109641527
ln_d10_com,-0.22518752002690634,0.049794436919647786,6.115886606864353e-06
car,-0.4060414947907927,0.06501353144677148,4.2246798153218984e-10
vuln_media,0.08772284017642608,0.07249722122666961,0.22627252828495348
vuln_alta,0.23887863614439514,0.07327465067187491,0.001113946586016197
age_70_79,0.18876544445480334,0.06577756467440614,0.0041079095440975655
age_80,0.12867816675098961,0.08605929256904364,0.1348552429285904
