vuln_group,age_band,n_expand,prob
alta,60-69,156309.730137,0.5261760395776139
alta,70-79,96240.388917,0.3239682305341625
alta,80+,44517.24696,0.14985572988822343
baja,60-69,184138.754115,0.5225213447316599
baja,70-79,116143.463014,0.32957450357226825
baja,80+,52122.05491,0.14790415169607177
media,60-69,179697.095886,0.5292262960951623
media,70-79,107683.703154,0.31713950127583734
media,80+,52166.002039,0.15363420262900046
