vuln_group,auto,dist,walk,w,prop
alta,con auto,3149.6823229258475,False,0.817907347175127,De salud
media,sin auto,7694.341479663095,False,1.12721985301036,Trámites
media,sin auto,130.3572015655445,False,1.0,Trámites
alta,sin auto,1810.6014779387713,False,1.0,Trámites
alta,sin auto,1810.6014779387713,False,1.0,Trámites
media,sin auto,8810.463281539262,False,1.0,Trámites
media,sin auto,5948.382033248752,False,1.42042823117339,De salud
baja,sin auto,5788.949322105545,False,1.0,Trámites
alta,sin auto,1172.029436490398,True,1.48210391383712,De compras
alta,con auto,6312995.35285734,True,1.48210391383712,De compras
alta,con auto,6433.26354359038,False,1.48210391383712,Trámites
alta,sin auto,7717.431606093219,False,1.0,Trámites
alta,sin auto,7285.158166018515,False,1.0,De compras
alta,con auto,1193.3040266419953,True,1.48210391383712,De compras
alta,sin auto,5712.947795632742,False,1.0,Trámites
media,sin auto,77.33571296626158,True,1.48210391383712,De compras
media,sin auto,3811.495363663265,False,1.0,De compras
alta,sin auto,5545.764998884425,False,1.0,De compras
alta,sin auto,5030.180500555031,False,1.0,Trámites
media,sin auto,6315518.294797599,False,1.0,Trámites
baja,sin auto,12535.188019981553,False,1.0,De compras
media,sin auto,1885.4679212934286,False,1.12721985301036,Trámites
media,sin auto,5074.647752650086,False,1.0,De compras
media,con auto,3631.0291434557503,False,1.0430735418982884,De salud
media,sin auto,7403.154486275175,False,1.0,De compras
media,con auto,6655.839808957244,False,1.48210391383712,Trámites
media,sin auto,7663.189799956429,False,1.0,De compras
media,sin auto,3354.1470368376163,False,1.0,Visitar a alguien
baja,con auto,4987.44869647799,False,1.0,De compras
media,con auto,3069.310071727236,False,1.0,De salud
media,con auto,5162.762600104625,False,1.0,De compras
alta,sin auto,5504.173053238788,False,1.0,De compras
alta,sin auto,6974.416313223369,False,1.0,Trámites
alta,sin auto,3317.557989790834,False,1.0,De salud
alta,sin auto,2715.588133380364,True,1.48210391383712,De compras
alta,sin auto,1254.83265816602,False,1.0,De compras
alta,sin auto,6782.157363906345,False,1.0,Trámites
alta,sin auto,7856.969322739943,False,1.0,Trámites
alta,sin auto,4580.412999937887,False,1.0,De salud
alta,sin auto,3400.523296701002,False,0.817907347175127,De salud
alta,sin auto,1405.1739897273399,False,1.48210391383712,Trámites
alta,sin auto,720.7657826760109,True,1.48210391383712,De compras
alta,sin auto,50.288891976757654,True,1.48210391383712,De compras
baja,sin auto,1186.5340779615487,False,1.14387994007037,De salud
baja,sin auto,1584.9588519895399,True,1.48210391383712,Buscar o Dejar a alguien
alta,con auto,633.6824051723387,True,1.48210391383712,De salud
alta,con auto,619.090929590769,True,1.48210391383712,De compras
alta,sin auto,713.0175313412707,False,1.48210391383712,De compras
baja,con auto,303356.7314344709,False,1.0,Visitar a alguien
media,sin auto,1330.5867629692784,False,1.48210391383712,Trámites
media,sin auto,442.27798102550844,True,1.48210391383712,De compras
alta,sin auto,15547.433566881757,False,1.0,De compras
baja,con auto,457.6029938713251,True,1.48210391383712,De compras
baja,sin auto,2974.7504681327896,False,1.48210391383712,Recreación
media,sin auto,11640.546987700001,False,1.0,De salud
alta,sin auto,10711.589497478888,False,1.0,Visitar a alguien
baja,sin auto,1436.299452817574,False,1.14387994007037,Trámites
baja,sin auto,581.1729527228212,True,1.48210391383712,De compras
baja,sin auto,1436.299452817574,False,1.14387994007037,Trámites
baja,sin auto,581.1729527228212,True,1.48210391383712,De compras
baja,sin auto,1082.8383028130575,False,1.0430735418982884,De salud
baja,sin auto,305.0029777006284,False,1.14387994007037,Recreación
alta,sin auto,15779.089712566647,False,1.0,Recreación
alta,sin auto,15779.089712566647,False,1.0,Recreación
media,sin auto,1161.7041567677902,False,1.0,De compras
media,sin auto,2367.653352882145,False,1.0,Buscar o dejar algo
media,sin auto,13689.004494940456,False,1.0,Trámites
alta,sin auto,1714.2438486563835,False,1.48210391383712,Trámites
alta,sin auto,1754.1446555675645,True,1.48210391383712,Recreación
baja,sin auto,455.3060279653263,True,1.48210391383712,De salud
baja,sin auto,12353.412740174335,False,1.12721985301036,Trámites
baja,sin auto,776.4229779089488,True,1.48210391383712,De compras
alta,sin auto,6294088.259810557,True,1.48210391383712,Recreación
media,sin auto,15153.65977044742,False,1.0,De salud
alta,sin auto,20090.437432653165,False,1.0,De salud
alta,sin auto,79.11868063232602,True,1.48210391383712,De compras
media,sin auto,6293895.356974613,True,1.48210391383712,De salud
baja,con auto,2378.5671763690007,False,1.48210391383712,Buscar o dejar algo
baja,con auto,2378.5671763690007,False,1.48210391383712,Buscar o Dejar a alguien
media,con auto,167.51832922101391,True,1.48210391383712,Visitar a alguien
media,con auto,6295825.806295519,True,1.48210391383712,De compras
media,sin auto,3040.3027912528714,False,1.14387994007037,Trámites
media,sin auto,3195.5221428782183,False,1.48210391383712,Recreación
baja,con auto,2138.842997548923,False,1.0,De compras
alta,sin auto,125.04986895859787,True,1.48210391383712,De compras
alta,sin auto,125.04986895859787,True,1.48210391383712,De compras
alta,sin auto,6294792.627310936,True,1.48210391383712,De compras
alta,sin auto,6294792.627310936,True,1.48210391383712,Recreación
media,sin auto,10856.246509066796,False,1.12721985301036,De compras
media,con auto,10713.196514696256,False,1.0430735418982884,De salud
media,con auto,8077.84028318368,False,1.48210391383712,De compras
media,con auto,2372.7008330516646,False,1.14387994007037,Buscar o Dejar a alguien
media,con auto,10713.196514696256,False,1.0430735418982884,De salud
media,con auto,8077.84028318368,False,1.48210391383712,De compras
baja,sin auto,4898.696261506729,False,1.0,Trámites
baja,sin auto,4898.696261506729,False,1.0,Trámites
media,sin auto,300.7926053051338,True,1.48210391383712,De compras
media,sin auto,198.9340735645857,True,1.48210391383712,De compras
media,sin auto,6293842.515890908,True,1.48210391383712,De compras
media,sin auto,514.2866883865092,True,1.48210391383712,De compras
baja,sin auto,2001.696378231474,False,1.0,Trámites
baja,sin auto,4878.969262303258,False,1.0,De salud
alta,con auto,355.02632494823536,True,1.48210391383712,De compras
baja,sin auto,1034.5728780704926,True,1.48210391383712,Trámites
alta,sin auto,5788.128751281043,False,1.48210391383712,Trámites
media,sin auto,3174.1398299627963,False,1.48210391383712,Trámites
media,sin auto,2783.8222011923754,False,1.48210391383712,Trámites
media,con auto,6304637.597891335,False,1.48210391383712,Buscar o Dejar a alguien
alta,sin auto,2948.6718733026655,False,1.0,Trámites
media,sin auto,670.9047791275972,True,1.48210391383712,Visitar a alguien
media,sin auto,7622.557935335032,False,1.0,Visitar a alguien
alta,sin auto,1329.242192252436,False,1.48210391383712,Visitar a alguien
alta,sin auto,277.3942383622315,True,1.48210391383712,De compras
media,sin auto,9752.648775621165,False,0.817907347175127,Visitar a alguien
media,sin auto,6002.873194956442,False,1.12721985301036,Trámites
media,sin auto,679.876505330196,False,1.12721985301036,De compras
alta,con auto,3194.1384303908935,False,1.0,Recreación
alta,sin auto,548.0288051636178,False,1.12721985301036,De compras
alta,sin auto,783.589738898009,False,1.12721985301036,De compras
alta,sin auto,444.51353765239816,True,1.48210391383712,Trámites
media,con auto,2632.1453353502825,False,1.12721985301036,Trámites
media,sin auto,513.0535434791991,False,1.48210391383712,De compras
media,sin auto,1707.1823460017386,False,1.0,Trámites
media,sin auto,89.04056747488754,True,1.48210391383712,De compras
media,sin auto,134.5253228949851,True,1.48210391383712,De compras
media,con auto,1019.3733258914824,True,1.48210391383712,De compras
alta,sin auto,227.85296279892873,True,1.48210391383712,De compras
alta,sin auto,7373.907274979799,False,1.12721985301036,Trámites
alta,sin auto,3376.300907989254,False,1.05276355601825,Recreación
alta,sin auto,956.5214831127684,False,1.0,Trámites
alta,sin auto,1906.0887557316323,False,1.0,Recreación
alta,sin auto,1528.4118710793402,False,1.0,De salud
media,sin auto,85.03124425762567,True,1.48210391383712,De compras
media,sin auto,6782.620525387385,False,1.0,Trámites
media,sin auto,637.4433989885396,True,1.48210391383712,De compras
media,sin auto,7040.164363606972,False,1.0,Visitar a alguien
alta,sin auto,285.36703510840647,True,1.14387994007037,Recreación
media,sin auto,735.3748220508029,True,1.48210391383712,De compras
media,sin auto,1317.3736716000515,True,1.48210391383712,De compras
media,sin auto,1317.3736716000515,True,1.48210391383712,De compras
media,con auto,11019.738868169983,True,1.48210391383712,De compras
baja,con auto,9729.661158026009,False,1.12721985301036,De salud
alta,sin auto,947.5325321138386,True,1.14387994007037,De salud
alta,sin auto,948.7610799954131,True,1.14387994007037,De salud
