day,purpose,n,share_outside_window,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20
laboral_normal,salud,108,0.020043171173406815,0.03157121365696205,0.08682083755664563,0.17597542994315563,0.16362493190567817,0.19430460663799282,0.0715859077087342,0.06135934946462931,0.04090623297641954,0.030679674732314654,0.0715859077087342,0.02045311648820977,0.030679674732314654,0.010226558244104886,0.0,0.010226558244104886
laboral_normal,comercio,1588,0.004422040887936407,0.0004897238222152567,0.00146917146664577,0.00881502879987462,0.05583829036574168,0.19479949025321244,0.15609340261332333,0.13705762180682046,0.04568587393560683,0.018401254779619416,0.02601556710222055,0.03997513969365597,0.14594098618318846,0.1218289971616182,0.036167983532355404,0.011421468483901707
laboral_normal,areas_verdes,353,0.03198866667343381,0.0023185944993525938,0.04869048448640447,0.04173470098834669,0.03004159668959921,0.06308735304815834,0.0690956723860782,0.08111231106191785,0.07810815139295794,0.06008319337919842,0.12016638675839685,0.1021414287446373,0.08712063039983771,0.10514558841359722,0.07510399172399802,0.03604991602751905
laboral_estival,salud,25,0.041912951569452406,0.03376331386086476,0.06752662772172952,0.06752662772172952,0.3062254744668281,0.17498598540961602,0.17498598540961602,0.0,0.0,0.043746496352404005,0.0,0.0,0.0,0.08749299270480801,0.043746496352404005,0.0
laboral_estival,comercio,295,0.0,0.0,0.0,0.007867016859090557,0.050965735435320694,0.22424923591541104,0.1698857847844023,0.149499490610274,0.06115888252238483,0.020386294174128277,0.01698857847844023,0.020386294174128277,0.10532918656632943,0.11552233365339357,0.0373748726525685,0.020386294174128277
laboral_estival,areas_verdes,55,0.056177079124897,0.06125043269033742,0.045937824517753065,0.0,0.05952078285279397,0.07936104380372529,0.13888182665651924,0.11904156570558794,0.01984026095093132,0.05952078285279397,0.03968052190186264,0.05952078285279397,0.05952078285279397,0.05952078285279397,0.09920130475465659,0.09920130475465659
